symbol,rows,first_timestamp_ms,first_timestamp_utc,last_timestamp_ms,last_timestamp_utc,funding_rows,funding_fee_rows,mark_rows,index_rows,open_interest_rows,liquidation_rows,oi_first_timestamp_ms,oi_first_timestamp_utc,oi_last_timestamp_ms,oi_last_timestamp_utc,has_funding_fee,has_mark,has_index,has_open_interest,has_liquidation
ADAUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
AVAXUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
BNBUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
BTCUSDT,1215581,1700000000000,2023-11-14T22:13:20+00:00,1772888160000,2026-03-07T12:56:00+00:00,2532,2532,1214802,1,0,0,,,,,True,True,True,False,False
DOGEUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
ETHUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
SOLUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
TONUSDT,621002,1735689600015,2025-01-01T00:00:00.015000+00:00,1772884800000,2026-03-07T12:00:00+00:00,2584,2584,619800,0,0,0,,,,,True,True,False,False,False
TRXUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
XAGUSDT,85641,1767771720000,2026-01-07T07:42:00+00:00,1772889720000,2026-03-07T13:22:00+00:00,356,356,85301,85022,8004,0,1770480300000,2026-02-07T16:05:00+00:00,1772881200000,2026-03-07T11:00:00+00:00,True,True,True,True,False
XAUUSDT,124776,1765433280000,2025-12-11T06:08:00+00:00,1772889720000,2026-03-07T13:22:00+00:00,518,518,124275,124017,7803,0,1770540600000,2026-02-08T08:50:00+00:00,1772881200000,2026-03-07T11:00:00+00:00,True,True,True,True,False
XPDUSDT,52088,1769768100000,2026-01-30T10:15:00+00:00,1772881320000,2026-03-07T11:02:00+00:00,215,215,51888,51888,1998,0,1770518100000,2026-02-08T02:35:00+00:00,1771117800000,2026-02-15T01:10:00+00:00,True,True,True,True,False
XPTUSDT,52103,1769767200000,2026-01-30T10:00:00+00:00,1772881320000,2026-03-07T11:02:00+00:00,215,215,51903,51903,1997,0,1770517200000,2026-02-08T02:20:00+00:00,1771116900000,2026-02-15T00:55:00+00:00,True,True,True,True,False
XRPUSDT,620396,1735689600015,2025-01-01T00:00:00.015000+00:00,1772877600000,2026-03-07T10:00:00+00:00,1292,1292,619800,0,25,0,1772870400000,2026-03-07T08:00:00+00:00,1772877600000,2026-03-07T10:00:00+00:00,True,True,False,True,False
